项目名称,项目URL,提交ID,提交者,提交时间,提交信息,提交链接
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,3e8f219,Samy Pessé,2015-05-02T11:33:04Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/3e8f219cc2c17185236da4a1691cd813dc8f6924
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,638c87b,Samy Pessé,2015-05-02T11:30:33Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/638c87bbd2059713c556701e10b2a66ddfd1760b
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,31508ad,Samy Pessé,2015-05-02T11:29:51Z,Create identitymapping.png,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/31508adac4e9945d6f8e3030400b35e0d8cb693e
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,06b0453,Samy Pessé,2015-05-02T11:27:48Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/06b04539199c8f854c4738cd81d9586564e25843
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,0096079,Samy Pessé,2015-04-30T09:16:32Z,Merge pull request #90 from mrnoda/master  Reworded a paragraph that included a typo,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/00960790d772cd76b380ef88039f7092d9f992a5
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,04bd0d2,Mike Scott,2015-04-29T22:35:19Z,Reworded a paragraph that included a typo,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/04bd0d26dea3ec8a9b0f1f6ce0c05cccdd7afaf3
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,7a2ea63,Samy Pessé,2015-04-17T19:09:50Z,Merge pull request #87 from mortonfox/patch-1  Fix gitbook link.,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/7a2ea63e2a4ad80f6af3e7676e23394ad681608a
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,a8840b5,Morton Fox,2015-04-17T19:05:33Z,Fix gitbook link.,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/a8840b5541d392e2b334e1971f8de2b17b9f116a
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,6a68ae0,Samy Pessé,2015-04-11T22:46:51Z,Merge pull request #85 from eiais/master  fixed odd phrasing,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/6a68ae0c8bdc401962c7cc0f9b481dd93125c15d
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,5109709,eiais,2015-04-11T22:44:44Z,fixed odd phrasing,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/510970971e686354c0d615540657af61e269d3af
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,2d8c36e,Samy Pessé,2015-03-27T11:12:04Z,Merge pull request #84 from GenaBitu/patch-1  Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/2d8c36ef33d17d3a415cf17b011b10e2e236647a
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,9b6d3c8,GenaBitu,2015-03-26T23:35:42Z,Update README.md  cylinder to sector mistake corrected,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/9b6d3c8a9d4dd2d071dc6032e1a4e5c94abf5c73
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,4fb7c79,Samy Pessé,2015-02-23T09:02:22Z,"Merge pull request #79 from mandliya/patch-2  Changing ""defien"" to ""define""",https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/4fb7c7906df49df472d3c55230b76114d31b32f5
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,a051d01,Ravi Mandliya,2015-02-23T03:38:57Z,"Changing ""defien"" to ""define""",https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/a051d0104df5ef5c5ea5b0bde5d5d34c185eb0a9
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,278a501,Samy Pessé,2014-12-17T21:15:56Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/278a50128c6642c2e7e6008a6c41ab280a0501c3
SamyPesse/How-to-Make-a-Computer-Operating-System,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System,2a58cba,Samy Pessé,2014-12-17T18:08:47Z,Update README.md,https://github.com/SamyPesse/How-to-Make-a-Computer-Operating-System/commit/2a58cba42772633173cad38c4d88fd9498f5cc0f
